+-------------------+------------------------------------------+--------------------------------+-----------------------------------------------------------------------------------------+
| N˙mero de Cidad„o |      Nome(s) PrÛprio(s) e Apelido(s)     |     Concelho de ResidÍncia     |                                       Profiss„o                                         |
|     83219375      | N°via Amadeu Fortunato                   | Figueira Da Foz                | Engenheiro TÈcnico Civil ñ Arquitectura e Urbanismo                                    |
|     75074379      | Urraca Chousa                            | Velas                          | MÈdico Urologista                                                                      |
|     69329830      | Juca Laranjeira                          | Vila Nova De Cerveira          | Trabalhadores N„o Qualificados das Minas                                               |
|     31820327      | Gilberto Ludovico Veloso Brito           | Sernancelhe                    | Embalador (Enfardador) Manual                                                          |
|     73781014      | Evandro Tom†s Mort·gua Seixas            | Amarante                       | TÈcnico de Contas (Guarda-Livros)                                                      |
|     14324022      | Vilmar Cach„o                            | Vila Verde                     | Outros Engenheiros QuÌmicos e Engenheiros TÈcnicos QuÌmicos                            |
|     99166436      | Berta Carrasco Soares                    | Murtosa                        | AstrÛlogo                                                                              |
|     26785881      | Avelino Bugalho                          | Lagoa                          | Montadores de Isolamentos                                                              |
|     42988026      | Adelinda Luca Terra Franco               | Mour„o                         | Encarregado ñ Cartonageiros e Operadores de M·quinas de Cartonagem                     |
|     31448992      | Urbano Valadares Vilanova Lages          | Set˙bal                        | MÈdico Imunohemoterapeuta                                                              |
|     30228517      | Dores Erc°lia Terra                      | S„o Vicente                    | Engenheiro Civil ñ GeotÈcnico                                                          |
|     45878885      | Vilmar Cardim                            | Mort·gua                       | Advogados, Magistrados e Outros Juristas                                               |
|     63695960      | L°lia Vinicios Sacadura                  | Carregal Do Sal                | Educador Social                                                                        |
|     31770530      | Ivo Delores Reis Canadas                 | Castro Verde                   | Consultor JurÌdico                                                                     |
|     69364273      | Jana°na Canh„o Pacheco                   | Caldas Da Rainha               | Manequins e Outros Modelos                                                             |
|     54144048      | Venceslau Luc°lia Sant'Anna Parreira     | Benavente                      | Cobrador                                                                               |
|     77754047      | Dejanira Lis Ourique Outeiro             | Celorico De Basto              | Gravadores e Fotogravadores de Artes Gr·ficas                                          |
|     56103042      | C°ntia Rosa                              | Mora                           | Engenheiro Civil ñ Sanit·rio                                                           |
|     53262677      | Vilma Paulina Silveira                   | Cantanhede                     | TÈcnicos IntermÈdios de QuÌmica Industrial                                             |
|     68851485      | Tiago RemÌgio Padilla                    | Castelo Branco                 | Empregada DomÈstica ñ Casas Particulares                                               |
|     11090432      | At°lio Greg¢rio Doutis Trindade          | Terras De Bouro                | Recauchutador                                                                          |
|     69889000      | Dulcineia Abreu                          | Estremoz                       | Trapezista                                                                             |
|     17694408      | Urbano Tadeu Caeiro Flores               | Vila Nova De Famalic„o         | Medidor Mec‚nico ñ Peles                                                               |
|     84995602      | Yasmin Alcoforado                        | Almeirim                       | Electromec‚nico de Elevadores e Aparelhos Similares                                    |
|     62961973      | Apolin†rio S°lvio Cedro                  | Odemira                        | Pedreiro                                                                               |
|     75713221      | Viviana Lencastre                        | Moita                          | Produtores de Aves                                                                     |
|     76635514      | Leoc†dio Andreia Camacho Abreu           | Velas                          | Maquinista de Cinema                                                                   |
|     65497878      | Cloe Blenda Veiga Furquim                | Torres Novas                   | Operador de M·quinas de Lavar e Limpar Roupa a Seco                                    |
|     98057991      | Adauto Marroquim                         | Const‚ncia                     | Conserveiro de Peixe                                                                   |
|     51649917      | Nina Alberta RemÌgio Valcanaia           | Lagos                          | Trabalhadores de Artigos de Pirotecnia                                                 |
|     62264305      | M†rio Simas                              | Benavente                      | TÈcnico de PrÛteses Dent·rias                                                          |
|     41594130      | Valdo Maristela Serralheiro              | Elvas                          | Marceneiros, Carpinteiros e Trabalhadores Similares                                    |
|     51919298      | Greg¢rio N£bia AÁores                    | Paredes De Coura               | Operador de DestilaÁ„o ñ RectificaÁ„o ñ Bebidas                                        |
|     59234594      | Frederico Reis Alencar                   | Vila Nova De Cerveira          | Operador de Caldeiras a Vapor (Fogueiro de Caldeiras a Vapor)                          |
|     14554617      | Bianca Banha Magalh„es                   | Barreiro                       | Operador de Engenho de Furar                                                           |
|     38614441      | Nelma CordÇlia PicanÁo                   | Trancoso                       | Trabalhador de RecepÁ„o e Pesagem ñ Leite                                              |
|     11780749      | AngÇlica Tigre Castelhano                | AlcobaÁa                       | Marceneiro                                                                             |
|     14472812      | Raquel Olga Sosa                         | Alc·cer Do Sal                 | Profissionais de NÌvel IntermÈdio dos ServiÁos EstatÌsticos, Matem·ticos e Outros      |
|     75004847      | CÉndido Liane Gois                       | Aguiar Da Beira                | BioquÌmico                                                                             |
|     44528940      | HÇlia Valdo Santiago                     | Porto                          | Montadores de Cabos                                                                    |
|     76230441      | Elda Valadares                           | Reguengos De Monsaraz          | Outros Oficiais de Pilotagem                                                           |
|     47517974      | Benedita Victor Rebelo                   | Lous„                          | Pastor ñ Gado Ovino e Caprino                                                          |
|     13154827      | Crist¢vÑo Belarmina Paz                  | Fund„o                         | Acabador ñ Malas e Marroquinaria                                                       |
|     38315570      | Fernando Rodrigues                       | Belmonte                       | FÌsico ñ Especialista em MatÈria Condensada                                            |
|     28501123      | Clemente F†tima Castilho                 | Penacova                       | Lavador de Diamantes                                                                   |
|     30295564      | Vitorino Elsa Marques Rebotim            | Ribeira De Pena                | Operador de M·quinas ñ Ferramentas de Comando NumÈrico                                 |
|     51363788      | Carolina Vilar                           | Felgueiras                     | Condutor de M·quina de EscavaÁ„o                                                       |
|     49291123      | Alberta Natalina Vasconcellos Balsem„o   | Montemor-O-Velho               | Operador de PrÈ-EsterilizaÁ„o ñ Leite                                                  |
|     83421260      | Urraca Valcanaia Quintela                | Olh„o                          | Electromec‚nico de Instrumentos de Precis„o                                            |
|     85281062      | Dalva Gouveia Coelho                     | Barrancos                      | Director de Hotel                                                                      |
|     14173504      | Omar Villalobos                          | Terras De Bouro                | Desenhador HumorÌstico (Caricaturista)                                                 |
|     63788816      | Lis Dora Pires                           | Sever Do Vouga                 | Pedreiros e Calceteiros                                                                |
|     51590902      | Amado Miranda                            | Vinhais                        | Acabador ñ Madeiras                                                                    |
|     17869148      | Augusto Noguera Guterres                 | S„o Roque Do Pico              | Caixa de ServiÁos Financeiros                                                          |
|     88394770      | Gildo Sousa                              | S„o Br·s De Alportel           | Torneiro Mec‚nico                                                                      |
|     82327006      | Calvino Xània Sim„o Bethecourt           | Viana Do Alentejo              | BiofÌsico                                                                              |
|     30909345      | Br°gido Vanderlei Taveira Belchiorinho   | Murtosa                        | Operador de Vazamento ContÌnuo                                                         |
|     12105074      | Hirondina HÇlio Estrada                  | Chaves                         | Oleiro ñ Artesanato                                                                    |
|     29374001      | Glena Fedra Mota                         | Armamar                        | Operador de M·quinas de Vincar Arame                                                   |
|     93622901      | Alfeu Quintal                            | Oleiros                        | Operador de M·quina de Escolha ”ptica ñ Vidro                                          |
|     41313892      | Hildegarda Caio Calheiros                | Caldas Da Rainha               | TÈcnico de Neurofisiografia                                                            |
|     97366647      | Pl†cida Betancour Salles                 | Chamusca                       | Enchedor de Colchıes                                                                   |
|     75790626      | Elton J£lia Bicudo Esteves               | Oeiras                         | Operador de M·quina de Bate-Estacas                                                    |
|     36506537      | Telmo Milheir„o                          | Lajes Das Flores               | Outros Carpinteiros                                                                    |
|     94230732      | Hor†cio Josefina Salguero                | MonÁ„o                         | Operador de M·quinas para Trabalhar Madeira (Mec‚nico de Madeiras)                     |
|     50162279      | Francisca Luzia Palmeira                 | Lajes Das Flores               | Outros Operadores de VeÌculos e Equipamentos de ElevaÁ„o                               |
|     84679539      | Paulino Paz Britto                       | Murtosa                        | TÈcnico Sanit·rio                                                                      |
|     83289654      | Dulcineia Felisberto Moura Magalh„es     | Arruda Dos Vinhos              | QuÌmico                                                                                |
|     28967701      | Nelma BaÌa                               | Cadaval                        | Outros Representantes Comerciais e TÈcnicos de Vendas                                  |
|     65613823      | Vieira Quintero                          | Santiago Do CacÈm              | Outros Trabalhadores N„o Qualificados da Ind˙stria Transformadora                      |
|     40824236      | Lisandra Inàs Nobre Monte                | Santa Cruz Das Flores          | Advogados e Consultores JurÌdicos                                                      |
|     95951310      | Adriano M†rcia Grillo RodrÌguez          | Coimbra                        | Modelador                                                                              |
|     39211333      | Dinis Natalina Saloio                    | Cascais                        | Porteiros, Guardas e Trabalhadores Similares                                           |
|     74770213      | Altino Delores Quinterno RodrÌguez       | Almeirim                       | Vazador ‡ M·quina                                                                      |
|     84451329      | Adelaide Samanta Torcuato Vale           | Chamusca                       | Oper·rios, ArtÌfices e Trabalhadores Similares                                         |
|     19286432      | Solange AarÑo Motta                      | Castro Marim                   | Outros Engenheiros Civis e Engenheiros TÈcnicos Civis                                  |
|     98375833      | Fl†via Quadros Goulart                   | Espinho                        | Outro Pessoal de Vigil‚ncia e Limpeza ñ PrÈdios e Outros EdifÌcios                     |
|     60051501      | Ma°sa Carmen Meira                       | Vila Real                      | Bombeiro, em Geral                                                                     |
|     41054982      | Crist¢vÑo BasÌlio Teles                  | Oliveira De Frades             | Contramestre Pescador ñ Pesca do Largo                                                 |
|     91873099      | Vital Mort·gua                           | Alenquer                       | TÈcnico de PrevenÁ„o de IncÍndios                                                      |
|     19924603      | Omar Covelh„ Bugalho                     | Vila Nova De Poiares           | Ensaiadores e Outros Trabalhadores Similares                                           |
|     30945254      | Bernardete LeÁa                          | Estremoz                       | Vazador ‡ M·quina                                                                      |
|     77761166      | Isolda Maranh„o Martins                  | Ferreira Do Alentejo           | Operador de InstalaÁ„o de PreparaÁ„o ñ Tabaco                                          |
|     38377007      | Em°lio C†tia Sim„o Cabreira              | ValpaÁos                       | Impregnador ñ Madeira                                                                  |
|     49956888      | Hugo Agostinho Vides Ferraz              | Tondela                        | Maquinista de Transportador por Cabo AÈreo (Teleferista)                               |
|     98380651      | Quirina Nascimento Quezado               | Amadora                        | Outros Directores de ProduÁ„o das Ind˙strias Transformadora e Extractiva               |
|     95574869      | Nadine Milton Covelh„ Boga               | Sobral De Monte AgraÁo         | Estivador                                                                              |
|     34440129      | Augusto Teixeira                         | Espinho                        | Paginador ñ Sistema ElectrÛnico                                                        |
|     32973657      | Armando Pedroso                          | SantarÈm                       | Montador de ConstruÁıes Navais ñ Estaleiro                                             |
|     52652780      | Frederico Ces†ria Alc‚ntara Torrado      | Fornos De Algodres             | Outros Trabalhadores do Tratamento e PreparaÁ„o de Madeiras e CortiÁa                  |
|     89371659      | Valentina AndrÇ Carvalhoso               | Marv„o                         | Outros Guias-IntÈrpretes e Trabalhadores Similares                                     |
|     81282849      | Aline RÍgo                               | Benavente                      | Operador de Centro e Posto Emissor de G·s                                              |
|     69440533      | Francisco Josefa Albuquerque             | Aljezur                        | Profissionais de NÌvel IntermÈdio das CiÍncias da Vida e da Sa˙de                      |
|     61792108      | Erico Dias ¡lvares                       | Vila Do Conde                  | Operador de InstalaÁ„o de Betonagem                                                    |
|     80760523      | Vanessa Marins                           | S„o Br·s De Alportel           | MÈdico ñ Medicina Nuclear                                                              |
|     91660621      | Cristina Eduardo Viana                   | S„o Br·s De Alportel           | Empregados de EscritÛrio                                                               |
|     26936584      | Elizeu Portugal                          | Vouzela                        | Director de ExploraÁ„o AgrÌcola                                                        |
|     72773325      | Benvinda Erc°lia Miera Palhares          | Vila Pouca De Aguiar           | Operador de Enchimento Autom·tico de G·s CarbÛnico                                     |
|     59623873      | Natacha Ros·rio                          | LoulÈ                          | Operador de Tratamento de Imagem ñ Televis„o                                           |
|     42920183      | Ariela Cid†lia Negromonte SantarÈm       | Covilh„                        | Director de ServiÁos Recreativos, Culturais e Desportivos                              |
|     92864955      | N£ria Crist¢vÑo CÈsar Bogalho            | Serpa                          | Filtrador de Xarope ñ AÁ˙car                                                           |
|     82269363      | Ramom Delgado Noguera                    | Ferreira Do ZÍzere             | Filtrador de Xarope ñ AÁ˙car                                                           |
|     22657717      | Fabiana Motta                            | Cartaxo                        | Operador de M·quina de Termocolagem                                                    |
|     31982392      | Maur°cio Yasmine Silva Cantanhede        | Alvito                         | Albardeiro                                                                             |
|     78755166      | Faustina Ferreira                        | Loures                         | Telhadores                                                                             |
|     67689154      | Isa°as Amadeu Anhaia                     | Vizela                         | Outros Reveladores e Impressores em C‚mara Escura                                      |
|     73418034      | Am†vel Wilker Almada Peres               | Marco De Canaveses             | Operador de M·quina para Fabricar Machos (Macheiro Mec‚nico)                           |
|     36662136      | SilvÇria Natalina Negr„o                 | Castelo De Paiva               | Forneiro de PanificaÁ„o                                                                |
|     87510500      | Alzira Lino Hil·rio                      | Sardoal                        | MÈdico An·tomo ñ Patologista                                                           |
|     43900565      | Gonáalo Santiago Torrado                 | Barrancos                      | Empregados do Planeamento e Apoio ‡ ProduÁ„o                                           |
|     25403637      | Virgolino Olavo Tabosa Piteira           | Paredes De Coura               | Abridor ñ Amaciador de Juta e L„                                                       |
|     30221107      | Djalma Clodoaldo Maltez                  | Vila ViÁosa                    | Operador de M·quinas de Vincar Arame                                                   |
|     60645919      | Deolinda Doutis Fartaria                 | Arruda Dos Vinhos              | Outros Trefiladores e Estiradores                                                      |
|     21441448      | Capitolino Ramires Vergueiro             | Benavente                      | Oficial Vidreiro                                                                       |
|     64618826      | Evaldo Sabala Lessa                      | Fornos De Algodres             | Outros Mec‚nicos de Motores de Avi„o                                                   |
|     44684641      | Irina Altino Leite                       | BraganÁa                       | Acabador de Rendas                                                                     |
|     92767038      | Joaquim Armanda Paula                    | Vila Nova Da Barquinha         | Operador de Cortadora de Mantas ñ Pasta de Borracha                                    |
|     88108361      | Lena Franklin Porto                      | Caminha                        | Operadores de InstalaÁıes para Trabalhar Madeiras e CortiÁa                            |
|     88206059      | Vanessa Carrasco Taborda                 | Õlhavo                         | Pessoal de Limpeza de EscritÛrios, HotÈis e Trabalhadores Similares                    |
|     51378102      | Dione CornÇlia Ramos Soverosa            | Santo Tirso                    | Manequins, Vendedores e Demonstradores                                                 |
|     98201411      | LibÉnio Camelo Melancia                  | Armamar                        | Estucador                                                                              |
|     51889139      | Yasmine Lagos Vilas-Boas                 | ProenÁa-A-Nova                 | Outros Controladores de Tr·fego AÈreo                                                  |
|     37330986      | Ismael Bicudo                            | Mealhada                       | Operador de Cortadora de Mantas ñ Pasta de Borracha                                    |
|     55728851      | Osvaldo Meneses                          | Camara De Lobos                | Director de InvestigaÁ„o e Desenvolvimento                                             |
|     69094676      | Valdemiro Amador Sardinha                | Arraiolos                      | Canteiro de Acabamentos ñ ConstruÁ„o Civil                                             |
|     50219867      | Baltasar Ginjeira                        | Vimioso                        | TÈcnico de ReeducaÁ„o                                                                  |
|     41043329      | Belarmina Ada Peixoto                    | Vila Nova De Foz CÙa           | Outros FilÛlogos, Tradutores e IntÈrpretes                                             |
|     98811784      | Francisco Valesca Cantanhede Belmonte    | Goleg„                         | Outros Directores Gerais                                                               |
|     81684013      | Leila Le¢nidas Monteiro Damazio          | Borba                          | Cesteiro                                                                               |
|     15524883      | Ricardina Carlos Canela Felgueiras       | Crato                          | Controlador de Qualidade ñ Explosivos                                                  |
|     33954838      | Benvinda Juca Marmou Galante             | Vinhais                        | Factor ñ Caminhos de Ferro                                                             |
|     39541198      | Dinora VÉnia Mora                        | Angra Do HeroÌsmo              | Caricaturista                                                                          |
|     62221078      | Disa TomÈ                                | Portalegre                     | Caixa Fixo, Caixa Privativo                                                            |
|     14073287      | Hildegarda Natalina Igrejas FigueirÛ     | Castro Daire                   | Empregados da Banca de Casinos e Similares                                             |
|     65954193      | AbraÑo Virgolino Lins Le„o               | Castelo De Vide                | Ajustador-Montador de Conjuntos Mec‚nicos                                              |
|     50062780      | CÇlia Reinaldo Rodovalho BouÁas          | Caminha                        | Engenheiro ElectrotÈcnicoñ AutomaÁ„o, Controlo, InstrumentaÁ„o                         |
|     61181213      | Godofredo Alcoforado Franca              | Redondo                        | Operador de M·quina de Dobrar ñ EncadernaÁ„o                                           |
|     45992226      | Leandra Fedra Vilela Doutel              | Vila Real                      | Encarregado ñ ComposiÁ„o e Montagem ñ Artes Gr·ficas                                   |
|     39128481      | Tadeu L°via Avellar Liberato             | Angra Do HeroÌsmo              | Curtidor                                                                               |
|     72335098      | M†rcio Ivete Boga Ces·rio                | Sesimbra                       | Pinceleiro                                                                             |
|     12143135      | Luc°lia Albernaz                         | Arganil                        | Pregoeiro                                                                              |
|     58850070      | Miguel M†rcio Fitas                      | Marinha Grande                 | Encolador (Engomador de Teias)                                                         |
|     36516712      | Norma Lamego                             | Loures                         | TÈcnico de ManutenÁ„o ñ Inform·tica                                                    |
|     62402360      | EstefÉnia Alencar                        | Portim„o                       | Salineiro (Marnoto, Marnoteiro)                                                        |
|     78224001      | Frederica CÉndido MendoÁa Rolim          | Terras De Bouro                | Operadores de InstalaÁıes Fixas e Similares                                            |
|     92921821      | Altino Daniel Jardim Jorge               | Porto De MÛs                   | Operador de M·quinas de Fazer Rede                                                     |
|     45533838      | Joyce SilvÇria Lancastre                 | Oleiros                        | Actores, Encenadores e Realizadores                                                    |
|     77362616      | Wilton Nilda Dur„o Infante               | Vila De Rei                    | Pessoal de Limpeza de Casas Particulares e Trabalhadores Similares                     |
|     46105953      | SebastiÑo Virgolina Nunes Sarmento       | FigueirÛ Dos Vinhos            | Agricultor ñ Horticultura (Horticultor)                                                |
|     58405463      | Jesabel Queiroga Veloso                  | Paredes De Coura               | Porta Miras                                                                            |
|     99003259      | Adelina Marcela Lameira                  | Pinhel                         | Operador de Equipamento de TeleinformaÁ„o                                              |
|     85878849      | Micaela Borba                            | Gouveia                        | Encadernador                                                                           |
|     59552293      | Helena EugÇnio Sacadura Escobar          | Cartaxo                        | TraÁador Mec‚nico                                                                      |
|     64769900      | Pedro Souza Hil·rio                      | Vila Do Conde                  | Criadores e Trabalhadores Qualificados do Tratamento de Animais                        |
|     80687604      | Bryan Herculano Dias                     | Tondela                        | Encarregado ñ Marceneiros, Carpinteiros e Trabalhadores Similares                      |
|     41632029      | D†cio Paes Salgado                       | Batalha                        | Preparador de Caleiros                                                                 |
|     63360612      | Tim¢teo Neiva                            | Odemira                        | TÈcnico de InstalaÁıes ElÈctricas                                                      |
|     27499724      | Fernanda TÉmara Lamego                   | Torres Novas                   | Empregados dos ServiÁos de Transportes                                                 |
|     57767431      | Leandra Fernando Saraiva                 | Vila Franca Do Campo           | MÈdico Cirurgi„o ñ Cirurgia Cardiotor·xica                                             |
|     70588832      | Lina Nascimento Leite                    | Vila Real De Santo AntÛnio     | Posticeiro                                                                             |
|     95429054      | Irene Assunta Prado                      | Cascais                        | Operadores de InstalaÁıes para de FabricaÁ„o de Papel                                  |
|     75892620      | HÇlia Doutis                             | Vila Real De Santo AntÛnio     | Aplainador ñ Trabalho em SÈrie dos Metais                                              |
|     28211017      | Edite Juca Caires Zagallo                | Calheta                        | Encarregado ñ Montagem de Linhas ElÈctricas                                            |
|     82259514      | Morgana Cust¢dio Aguiar Souza            | Vila Nova De Poiares           | Despachante Oficial                                                                    |
|     64268066      | Capitolina Tavares Rodovalho             | Sernancelhe                    | Operador de M·quina de Rebobinar (Rebobinador) ñ Papel                                 |
|     28895446      | Israel Sardinha Ourique                  | Porto Moniz                    | Fresador Mec‚nico                                                                      |
|     79744805      | AmÇlia Moutinho Ornelas                  | Armamar                        | Trefilador Manual                                                                      |
|     75123406      | Petra Torreiro Meira                     | Porto Moniz                    | Monitor de FormaÁ„o                                                                    |
|     48413191      | DÉnia Jade Malheiro                      | Tondela                        | Professor do Ensino B·sico (                                                           |
|     12737110      | L°lia Kelly Borges Cerqueira             | S·t„o                          | Mandrilador ñ Trabalho em SÈrie dos Metais                                             |
|     17536968      | Cristiano Cristina Vianna                | Oliveira Do Hospital           | Locutor                                                                                |
|     84733933      | Sandra Padilha                           | Tondela                        | Gerente ñ Estabelecimentos Banc·rios                                                   |
|     99701452      | Calebe Erico Macieira                    | Porto Santo                    | Outros Operadores de M·quinas de Tratamento de Frutas e Legumes                        |
|     66692293      | Al°cia Pinhal Cirne                      | Santa Marta De Penagui„o       | Outros TÈcnicos de ìRobotsî Industriais                                                |
|     41042939      | Janu†rio Trindade Lobato                 | Gr‚ndola                       | Empregada DomÈstica ñ Casas Particulares                                               |
|     43383296      | Ilda Ediberto Marinho                    | Gouveia                        | Operador de Condicionamento de Ar                                                      |
|     17106374      | Avelina Camilo Torquato                  | ¡gueda                         | Oleiros, Trabalhadores do Fabrico de Abrasivos e Trabalhadores Similares               |
|     84407647      | Ari Franco                               | Castelo Branco                 | DactilÛgrafos                                                                          |
|     15384485      | Kelly Noronha Ferreira                   | Alc·cer Do Sal                 | Director e Gerente de Transportes                                                      |
|     67414608      | Belmira Keil do Amaral                   | Viana Do Castelo               | JuÌz                                                                                   |
|     77892707      | Armindo Caiado Valcanaia                 | Castelo Branco                 | Outros Cantoneiros de Limpeza e Trabalhadores Similares                                |
|     34496731      | Alexandrina Doutiz                       | AlmodÙvar                      | Prospector de Vendas                                                                   |
|     53203144      | Br°gida êlia Franca                      | Vila Nova De Gaia              | Juntador                                                                               |
|     40356029      | D¢ria Madeira                            | MelgaÁo                        | Enfermeiro ñ Especialista em Sa˙de Materna e ObstÈtrica                                |
|     66861953      | Rosana F†bia Lage                        | Batalha                        | EscanÁ„o (Chefe de Vinhos, "Sommelier")                                                |
|     57144880      | Sabina Shirley Homem PicanÁo             | Caldas Da Rainha               | Repassador                                                                             |
|     94286043      | Laurentina Lacerda                       | BraganÁa                       | Operador de Silos                                                                      |
